meter_id,district,customer_type,reading_date,kwh_current_month,kwh_previous_month,days_since_last_read,voltage_event_count_30d,estimated_read_flag,meter_age_years,anomaly_label
M000361,Bang Kapi,Residential,2025-05-16,567,538,26,1,0,1,0
M000362,Bang Khen,Commercial,2025-07-14,2718,2259,26,3,0,3,0
M000363,Phaya Thai,Government,2025-05-21,1894,1760,34,2,0,11,0
M000364,Bang Kapi,Mixed,2025-07-26,681,593,38,1,0,7,0
M000365,Phaya Thai,Residential,2025-07-14,524,503,34,3,0,1,0
M000366,Thon Buri,Commercial,2025-07-02,2158,2038,34,0,0,7,0
M000367,Thon Buri,Government,2025-07-26,2831,3206,26,0,0,1,0
M000368,Thon Buri,Residential,2025-05-08,282,474,35,1,0,14,0
M000369,Phaya Thai,Government,2025-06-14,2500,2562,36,2,0,4,0
M000370,Thon Buri,Industrial,2025-07-26,7248,8465,27,0,0,11,0
M000371,Thon Buri,Residential,2025-05-12,445,577,40,0,0,6,0
M000372,Din Daeng,Mixed,2025-07-12,478,507,33,0,0,11,0
M000373,Khlong Toei,Mixed,2025-05-30,650,658,28,0,0,13,0
M000374,Din Daeng,Commercial,2025-07-15,1861,2126,32,0,0,11,0
M000375,Thon Buri,Government,2025-05-23,2783,4078,22,2,0,4,0
M000376,Khlong Toei,Residential,2025-05-01,517,633,36,1,0,12,0
M000377,Bang Kho Laem,Government,2025-07-21,2858,3406,27,0,0,13,0
M000378,Phaya Thai,Mixed,2025-05-01,503,633,39,2,0,8,0
M000379,Thon Buri,Government,2025-06-29,3216,2621,36,0,0,7,0
M000380,Bang Kapi,Mixed,2025-07-16,1477,529,55,3,1,13,1
M000381,Din Daeng,Commercial,2025-06-21,592,2019,47,3,0,1,1
M000382,Bang Kapi,Mixed,2025-05-15,474,419,26,0,0,8,0
M000383,Bang Khen,Industrial,2025-05-05,9002,9373,31,1,0,11,0
M000384,Phaya Thai,Industrial,2025-05-08,6850,8450,25,3,0,7,0
M000385,Thon Buri,Residential,2025-06-05,684,382,25,2,0,1,0
M000386,Phaya Thai,Government,2025-05-25,3429,3478,28,1,0,1,0
M000387,Bang Kho Laem,Industrial,2025-07-04,7557,7622,33,0,0,3,0
M000388,Lat Phrao,Commercial,2025-07-15,1843,2530,40,2,0,6,0
M000389,Khlong Toei,Government,2025-05-14,3412,3577,30,1,0,11,0
M000390,Bang Khen,Mixed,2025-05-07,471,441,34,0,0,1,0
M000391,Thon Buri,Residential,2025-07-08,571,571,42,1,0,7,0
M000392,Phaya Thai,Mixed,2025-06-17,589,393,40,3,0,8,0
M000393,Thon Buri,Mixed,2025-07-11,527,493,32,2,0,9,0
M000394,Phaya Thai,Government,2025-05-24,3221,3574,27,0,0,8,0
M000395,Bang Kho Laem,Residential,2025-07-28,667,434,36,2,0,10,0
M000396,Bang Khen,Residential,2025-06-02,609,641,31,0,0,8,0
M000397,Bang Khen,Residential,2025-06-23,697,625,26,0,0,5,0
M000398,Bang Kho Laem,Government,2025-07-29,4028,3256,35,5,0,14,0
M000399,Lat Phrao,Mixed,2025-05-27,595,537,33,0,0,8,0
M000400,Bang Khen,Mixed,2025-05-06,630,431,34,2,0,8,0
M000401,Phaya Thai,Residential,2025-06-24,559,358,46,1,0,10,0
M000402,Lat Phrao,Government,2025-07-15,3438,2506,35,1,0,1,0
M000403,Bang Kapi,Government,2025-05-26,2518,2759,31,2,0,15,0
M000404,Thon Buri,Government,2025-07-18,2661,2922,38,0,0,1,0
M000405,Din Daeng,Mixed,2025-05-31,261,510,34,0,0,3,0
M000406,Bang Khen,Residential,2025-06-17,573,387,31,1,0,3,0
M000407,Bang Kho Laem,Commercial,2025-05-29,1082,1916,30,2,1,6,0
M000408,Khlong Toei,Commercial,2025-05-15,1724,2679,34,3,0,5,0
M000409,Phaya Thai,Government,2025-06-28,2441,3454,31,0,0,12,0
M000410,Lat Phrao,Mixed,2025-06-27,420,458,42,3,0,11,0
M000411,Bang Kapi,Government,2025-06-13,3677,3162,30,2,0,1,0
M000412,Din Daeng,Industrial,2025-05-22,7432,7573,41,1,0,15,0
M000413,Khlong Toei,Residential,2025-06-21,172,495,41,4,0,10,1
M000414,Phaya Thai,Mixed,2025-07-24,606,466,24,0,0,12,0
M000415,Bang Kho Laem,Mixed,2025-06-04,464,625,30,0,0,8,0
M000416,Lat Phrao,Mixed,2025-07-13,620,426,25,0,0,10,0
M000417,Lat Phrao,Government,2025-06-25,291,3955,52,6,1,13,1
M000418,Khlong Toei,Government,2025-07-13,2288,3837,27,0,1,11,0
M000419,Thon Buri,Industrial,2025-05-25,7744,11506,29,0,0,9,0
M000420,Din Daeng,Commercial,2025-07-11,1798,2224,32,1,0,4,0
M000421,Phaya Thai,Government,2025-05-04,1865,4260,29,2,0,15,0
M000422,Phaya Thai,Mixed,2025-06-11,700,625,20,0,0,16,0
M000423,Bang Khen,Industrial,2025-05-27,9917,5852,39,1,0,8,0
M000424,Bang Khen,Mixed,2025-05-14,544,403,31,1,0,5,0
M000425,Din Daeng,Mixed,2025-05-08,458,465,23,2,0,1,0
M000426,Din Daeng,Commercial,2025-05-31,6894,2296,57,3,1,9,1
M000427,Lat Phrao,Mixed,2025-07-07,482,605,41,2,0,7,0
M000428,Bang Kho Laem,Government,2025-06-05,9405,2871,48,5,0,11,1
M000429,Khlong Toei,Residential,2025-07-19,470,600,33,2,0,10,0
M000430,Khlong Toei,Mixed,2025-05-14,538,505,33,2,0,3,0
M000431,Bang Kho Laem,Commercial,2025-05-12,2840,1967,32,3,1,1,0
M000432,Thon Buri,Mixed,2025-07-25,503,530,38,3,0,6,0
M000433,Khlong Toei,Government,2025-05-10,2588,3822,28,0,0,1,0
M000434,Khlong Toei,Industrial,2025-06-15,8979,6086,37,0,1,10,0
M000435,Phaya Thai,Industrial,2025-07-14,7286,7544,30,2,0,3,0
M000436,Bang Kho Laem,Residential,2025-05-15,1615,435,48,4,0,8,1
M000437,Bang Kho Laem,Mixed,2025-05-26,555,262,41,0,0,15,0
M000438,Lat Phrao,Residential,2025-07-06,536,376,42,1,0,8,0
M000439,Bang Kho Laem,Government,2025-05-09,2464,3741,26,3,0,10,0
M000440,Bang Kapi,Government,2025-06-07,3361,2721,37,0,0,3,0
M000441,Phaya Thai,Residential,2025-06-22,512,668,32,4,0,11,0
M000442,Bang Kho Laem,Mixed,2025-07-19,501,721,26,0,0,14,0
M000443,Khlong Toei,Mixed,2025-07-08,446,608,38,2,0,11,0
M000444,Thon Buri,Commercial,2025-05-27,3279,2440,35,1,0,14,0
M000445,Bang Kapi,Residential,2025-07-22,458,611,35,2,0,8,0
M000446,Khlong Toei,Mixed,2025-07-08,531,442,39,0,0,9,0
M000447,Bang Khen,Mixed,2025-06-04,509,391,27,3,0,13,0
M000448,Khlong Toei,Commercial,2025-06-23,2081,2687,29,0,1,3,0
M000449,Bang Kapi,Commercial,2025-07-23,1966,1529,31,0,1,6,0
M000450,Bang Kho Laem,Industrial,2025-07-28,7906,7099,32,1,0,13,0
M000451,Khlong Toei,Residential,2025-05-30,543,532,33,1,0,6,0
M000452,Thon Buri,Mixed,2025-06-21,459,513,26,3,1,16,0
M000453,Bang Kho Laem,Residential,2025-06-07,439,592,25,3,0,4,0
M000454,Bang Kapi,Commercial,2025-07-20,2708,2614,26,0,0,7,0
M000455,Bang Kho Laem,Government,2025-06-28,3288,2314,30,2,0,6,0
M000456,Phaya Thai,Mixed,2025-07-24,565,409,37,1,0,1,0
M000457,Khlong Toei,Commercial,2025-05-05,1666,1555,25,3,0,11,0
M000458,Bang Khen,Industrial,2025-05-30,8966,8856,37,1,0,14,0
M000459,Khlong Toei,Government,2025-07-17,3628,3770,42,0,0,1,0
M000460,Bang Khen,Industrial,2025-06-12,6468,6819,40,0,0,5,0
M000461,Bang Kapi,Industrial,2025-07-28,8973,6975,36,2,0,5,0
M000462,Lat Phrao,Government,2025-06-13,2334,2665,33,0,0,7,0
M000463,Din Daeng,Residential,2025-06-27,547,472,35,0,1,8,0
M000464,Phaya Thai,Residential,2025-05-01,1553,414,45,7,1,2,1
M000465,Thon Buri,Mixed,2025-07-11,475,326,35,3,0,6,0
M000466,Bang Kapi,Industrial,2025-05-06,5541,6492,27,0,0,7,0
M000467,Bang Kapi,Mixed,2025-06-29,605,487,33,0,0,18,0
M000468,Khlong Toei,Government,2025-07-03,4604,2512,31,1,0,1,0
M000469,Thon Buri,Mixed,2025-05-24,624,500,33,3,0,1,0
M000470,Thon Buri,Mixed,2025-06-17,394,725,25,0,0,2,0
M000471,Bang Khen,Residential,2025-07-18,652,499,28,0,0,9,0
M000472,Bang Kho Laem,Government,2025-06-01,2592,3432,23,4,1,14,0
M000473,Lat Phrao,Mixed,2025-07-23,449,304,28,3,0,6,0
M000474,Lat Phrao,Commercial,2025-07-28,1472,2286,30,2,0,12,0
M000475,Phaya Thai,Mixed,2025-07-17,550,465,36,1,0,21,0
M000476,Khlong Toei,Industrial,2025-05-24,9669,7564,38,2,0,2,0
M000477,Bang Kapi,Commercial,2025-05-23,2224,1747,29,0,0,1,0
M000478,Bang Khen,Commercial,2025-05-14,2192,2623,26,2,0,10,0
M000479,Din Daeng,Commercial,2025-05-25,754,2989,57,2,0,13,1
M000480,Bang Khen,Government,2025-07-11,3633,3286,36,3,0,4,0
M000481,Khlong Toei,Industrial,2025-06-30,5861,5871,29,0,0,6,0
M000482,Khlong Toei,Industrial,2025-05-10,11211,6531,25,2,0,3,0
M000483,Bang Kapi,Government,2025-07-23,3447,2620,31,0,0,16,0
M000484,Phaya Thai,Government,2025-07-22,2816,2599,44,0,1,1,0
M000485,Lat Phrao,Industrial,2025-06-26,6153,9429,33,0,1,7,0
M000486,Din Daeng,Government,2025-06-22,2370,4056,36,2,0,12,0
M000487,Bang Kapi,Mixed,2025-07-12,514,523,44,0,0,13,0
M000488,Bang Kho Laem,Industrial,2025-07-10,8264,8673,23,2,0,7,0
M000489,Bang Kapi,Mixed,2025-05-05,482,498,24,1,0,5,0
M000490,Phaya Thai,Commercial,2025-07-12,1742,2658,37,2,0,4,0
M000491,Lat Phrao,Residential,2025-05-12,556,353,29,0,0,2,0
M000492,Khlong Toei,Residential,2025-07-04,564,492,30,1,0,22,0
M000493,Thon Buri,Residential,2025-05-08,440,702,31,3,0,1,0
M000494,Din Daeng,Industrial,2025-07-27,6835,9763,37,1,0,15,0
M000495,Bang Kho Laem,Industrial,2025-05-10,11070,9016,39,0,0,8,0
M000496,Din Daeng,Industrial,2025-07-23,7917,7849,41,1,0,6,0
M000497,Bang Khen,Commercial,2025-06-22,2326,1976,30,0,0,1,0
M000498,Bang Kapi,Government,2025-05-03,4117,3059,28,1,0,5,0
M000499,Lat Phrao,Mixed,2025-06-01,520,495,33,2,0,10,0
M000500,Lat Phrao,Mixed,2025-07-06,704,657,40,1,0,2,0
M000501,Bang Khen,Mixed,2025-06-04,460,512,29,3,0,9,0
M000502,Bang Kapi,Commercial,2025-07-03,2660,2214,33,0,0,11,0
M000503,Bang Khen,Residential,2025-07-11,418,525,34,2,0,3,0
M000504,Bang Khen,Commercial,2025-06-28,1988,2522,29,1,0,1,0
M000505,Khlong Toei,Mixed,2025-05-12,357,393,34,0,0,8,0
M000506,Din Daeng,Industrial,2025-05-10,9378,7696,40,2,0,7,0
M000507,Bang Kapi,Industrial,2025-05-21,6228,7321,34,2,0,10,0
M000508,Bang Kho Laem,Residential,2025-05-10,517,290,30,1,0,9,0
M000509,Din Daeng,Mixed,2025-06-11,662,522,35,1,0,8,0
M000510,Khlong Toei,Residential,2025-05-03,422,596,34,4,1,11,0
M000511,Bang Kapi,Mixed,2025-07-05,514,430,33,1,0,11,0
M000512,Thon Buri,Government,2025-05-18,3968,2837,32,6,0,7,0
M000513,Bang Khen,Government,2025-05-11,2589,3126,31,1,0,4,0
M000514,Bang Kho Laem,Government,2025-05-23,3614,3785,30,0,0,12,0
M000515,Din Daeng,Government,2025-06-14,4132,4124,30,3,1,7,0
M000516,Phaya Thai,Government,2025-07-05,2835,3191,28,0,0,7,0
M000517,Bang Khen,Mixed,2025-06-06,476,501,27,0,0,5,0
M000518,Bang Kapi,Government,2025-05-27,3137,3828,28,1,0,10,0
M000519,Khlong Toei,Commercial,2025-07-04,2073,2198,45,2,0,12,0
M000520,Khlong Toei,Residential,2025-05-27,564,386,30,4,0,7,0
M000521,Khlong Toei,Government,2025-05-15,4289,3285,33,1,0,9,0
M000522,Thon Buri,Industrial,2025-06-25,9326,9288,32,0,0,9,0
M000523,Phaya Thai,Residential,2025-06-23,577,445,32,0,0,1,0
M000524,Lat Phrao,Government,2025-05-21,3774,3688,42,1,1,6,0
M000525,Bang Kho Laem,Residential,2025-07-17,552,486,28,3,0,7,0
M000526,Din Daeng,Industrial,2025-05-01,7750,6855,23,1,0,10,0
M000527,Bang Kapi,Residential,2025-06-27,819,554,34,1,0,16,0
M000528,Bang Kho Laem,Residential,2025-07-07,559,471,28,0,0,8,0
M000529,Bang Khen,Commercial,2025-07-12,2448,2107,38,0,0,7,0
M000530,Bang Khen,Government,2025-07-11,1738,3096,44,6,1,4,1
M000531,Phaya Thai,Industrial,2025-07-26,5364,9339,38,1,0,10,0
M000532,Khlong Toei,Government,2025-07-20,2803,4187,41,1,0,15,0
M000533,Din Daeng,Residential,2025-07-28,588,592,31,0,0,11,0
M000534,Bang Khen,Government,2025-05-20,669,3233,50,7,1,10,1
M000535,Bang Kapi,Residential,2025-05-30,459,464,21,2,0,4,0
M000536,Din Daeng,Mixed,2025-07-07,430,542,25,0,0,10,0
M000537,Bang Kho Laem,Mixed,2025-07-24,446,405,31,4,0,2,0
M000538,Lat Phrao,Industrial,2025-07-05,7525,5962,25,2,0,6,0
M000539,Khlong Toei,Commercial,2025-06-16,2898,2422,27,3,0,4,0
M000540,Bang Kho Laem,Commercial,2025-06-08,2016,2804,36,1,0,12,0
M000541,Bang Khen,Mixed,2025-07-02,492,343,37,1,0,11,0
M000542,Bang Kho Laem,Mixed,2025-07-27,365,560,37,2,0,2,0
M000543,Khlong Toei,Commercial,2025-05-14,2909,2686,30,0,0,7,0
M000544,Phaya Thai,Residential,2025-05-17,372,493,26,0,1,4,0
M000545,Lat Phrao,Commercial,2025-06-14,2040,2401,25,0,0,7,0
M000546,Bang Kho Laem,Commercial,2025-06-22,2159,1813,34,0,0,9,0
M000547,Thon Buri,Industrial,2025-05-08,7295,8179,27,1,0,1,0
M000548,Thon Buri,Commercial,2025-06-25,2054,1553,36,0,0,17,0
M000549,Phaya Thai,Government,2025-07-16,2149,2550,34,2,0,6,0
M000550,Thon Buri,Commercial,2025-05-21,630,1941,31,3,0,7,0
M000551,Khlong Toei,Industrial,2025-05-13,7986,5284,34,0,0,11,0
M000552,Thon Buri,Government,2025-07-28,3240,3129,29,0,0,4,0
M000553,Bang Kho Laem,Mixed,2025-07-17,425,458,32,1,0,16,0
M000554,Lat Phrao,Mixed,2025-05-17,508,622,26,4,1,2,0
M000555,Phaya Thai,Mixed,2025-07-19,475,553,33,3,0,1,0
M000556,Bang Kapi,Mixed,2025-07-06,338,523,34,3,0,12,0
M000557,Thon Buri,Industrial,2025-05-04,5648,9081,31,3,0,6,0
M000558,Lat Phrao,Industrial,2025-07-05,7880,5915,37,0,0,11,0
M000559,Khlong Toei,Commercial,2025-06-30,3230,2240,36,0,0,8,0
M000560,Thon Buri,Mixed,2025-06-03,510,695,30,1,0,7,0
M000561,Bang Kho Laem,Industrial,2025-06-20,8876,6547,32,1,0,1,0
M000562,Khlong Toei,Government,2025-06-24,4294,4538,23,2,0,4,0
M000563,Khlong Toei,Government,2025-07-04,3061,2865,28,0,0,7,0
M000564,Bang Kho Laem,Residential,2025-07-21,611,502,31,0,1,8,0
M000565,Bang Kho Laem,Residential,2025-05-21,1688,651,54,5,0,11,1
M000566,Thon Buri,Government,2025-06-12,5,3858,55,6,0,8,1
M000567,Din Daeng,Commercial,2025-06-08,2041,1469,30,0,0,4,0
M000568,Bang Kapi,Commercial,2025-05-04,2220,1499,29,1,0,17,0
M000569,Bang Kapi,Commercial,2025-06-12,400,2274,48,7,1,6,1
M000570,Phaya Thai,Commercial,2025-06-23,2139,2459,39,2,0,3,0
M000571,Thon Buri,Commercial,2025-06-22,2585,1718,21,0,0,8,0
M000572,Bang Khen,Commercial,2025-06-29,2118,2409,28,1,0,1,0
M000573,Lat Phrao,Industrial,2025-07-16,8193,8761,25,1,0,1,0
M000574,Bang Khen,Mixed,2025-07-15,551,601,33,1,0,1,0
M000575,Thon Buri,Mixed,2025-05-31,336,624,30,2,0,8,0
M000576,Lat Phrao,Residential,2025-07-28,398,431,25,3,0,8,0
M000577,Bang Khen,Industrial,2025-07-21,5,7655,51,5,0,4,1
M000578,Bang Kapi,Government,2025-06-21,4225,3853,32,0,0,19,0
M000579,Khlong Toei,Mixed,2025-07-21,305,627,27,1,0,5,0
M000580,Lat Phrao,Residential,2025-05-13,720,537,27,3,0,3,0
M000581,Thon Buri,Residential,2025-05-12,551,630,27,1,0,19,0
M000582,Bang Kho Laem,Government,2025-06-26,1225,3315,51,7,0,6,1
M000583,Lat Phrao,Industrial,2025-05-08,8353,7839,36,3,0,9,0
M000584,Phaya Thai,Government,2025-05-22,3906,3124,51,1,0,10,0
M000585,Thon Buri,Mixed,2025-06-21,424,561,28,1,1,7,0
M000586,Bang Khen,Mixed,2025-05-20,586,488,38,1,0,2,0
M000587,Lat Phrao,Government,2025-06-14,4520,3234,39,0,0,9,0
M000588,Lat Phrao,Government,2025-06-22,3616,2499,30,0,0,4,0
M000589,Bang Kapi,Industrial,2025-06-20,6833,7779,32,3,0,9,0
M000590,Lat Phrao,Industrial,2025-07-04,3750,7973,27,3,0,6,0
M000591,Bang Kapi,Government,2025-05-21,3052,3535,31,2,0,11,0
M000592,Khlong Toei,Commercial,2025-07-12,2350,1487,27,0,0,18,0
M000593,Din Daeng,Residential,2025-05-12,527,345,43,3,0,5,0
M000594,Bang Kho Laem,Commercial,2025-06-23,2107,2029,34,0,0,3,0
M000595,Din Daeng,Residential,2025-05-26,392,567,31,2,0,13,0
M000596,Bang Kapi,Mixed,2025-06-02,540,449,30,4,0,8,0
M000597,Bang Khen,Mixed,2025-07-08,340,437,39,1,0,5,0
M000598,Bang Kho Laem,Industrial,2025-05-25,9614,5874,28,0,0,5,0
M000599,Thon Buri,Commercial,2025-07-29,2866,2478,30,0,0,10,0
M000600,Thon Buri,Commercial,2025-06-29,1709,2174,40,1,0,10,0
M000601,Bang Kho Laem,Mixed,2025-05-11,553,734,22,0,0,12,0
M000602,Bang Kho Laem,Mixed,2025-05-10,472,630,33,1,1,7,0
M000603,Lat Phrao,Government,2025-06-29,2873,2670,28,0,0,7,0
M000604,Khlong Toei,Mixed,2025-05-05,503,508,26,0,0,1,0
M000605,Bang Khen,Residential,2025-07-22,435,561,33,3,0,8,0
M000606,Phaya Thai,Government,2025-05-28,4752,3560,45,0,0,9,0
M000607,Phaya Thai,Industrial,2025-06-07,10815,6886,27,0,0,8,0
M000608,Lat Phrao,Residential,2025-05-27,387,539,46,1,0,1,0
M000609,Thon Buri,Government,2025-05-26,2940,2759,31,1,0,7,0
M000610,Thon Buri,Industrial,2025-06-07,5615,7290,36,0,0,5,0
M000611,Bang Kho Laem,Commercial,2025-07-27,2922,2065,41,1,0,9,0
M000612,Phaya Thai,Industrial,2025-05-02,5647,9821,33,3,0,10,0
M000613,Bang Kapi,Commercial,2025-05-20,1885,2310,24,2,1,14,0
M000614,Din Daeng,Mixed,2025-05-19,156,452,37,3,0,8,0
M000615,Bang Khen,Industrial,2025-05-19,8924,6378,35,1,0,9,0
M000616,Phaya Thai,Industrial,2025-07-02,9238,7960,27,1,0,2,0
M000617,Bang Kapi,Mixed,2025-05-31,589,460,29,0,1,13,0
M000618,Thon Buri,Industrial,2025-05-24,8310,9532,40,2,0,11,0
M000619,Khlong Toei,Residential,2025-07-02,678,510,33,1,0,8,0
M000620,Khlong Toei,Commercial,2025-05-08,2644,2361,21,0,0,6,0
M000621,Khlong Toei,Residential,2025-05-16,437,528,35,2,1,8,0
M000622,Phaya Thai,Commercial,2025-07-13,2151,2372,31,1,0,3,0
M000623,Bang Khen,Industrial,2025-07-01,5500,7220,31,3,0,1,0
M000624,Din Daeng,Government,2025-05-07,3059,2348,26,0,0,14,0
M000625,Bang Khen,Government,2025-06-15,4678,3262,29,3,0,6,0
M000626,Thon Buri,Commercial,2025-06-06,2859,2461,35,5,1,1,0
M000627,Bang Kho Laem,Residential,2025-05-09,516,574,32,2,0,13,0
M000628,Din Daeng,Industrial,2025-06-19,7694,7652,26,1,0,6,0
M000629,Bang Kho Laem,Commercial,2025-06-24,1497,2628,36,0,0,22,0
M000630,Phaya Thai,Government,2025-06-11,2832,3012,36,3,0,1,0
M000631,Phaya Thai,Commercial,2025-06-20,2318,1815,29,0,1,10,0
M000632,Phaya Thai,Residential,2025-06-26,1430,595,63,8,1,8,1
M000633,Din Daeng,Industrial,2025-05-11,6744,8704,27,0,0,6,0
M000634,Bang Kapi,Commercial,2025-05-22,2712,2327,29,1,0,9,0
M000635,Lat Phrao,Government,2025-05-11,2796,2587,24,0,0,9,0
M000636,Bang Kho Laem,Residential,2025-05-10,413,637,35,2,0,1,0
M000637,Thon Buri,Commercial,2025-06-12,1848,2885,41,0,0,10,0
M000638,Bang Kho Laem,Government,2025-05-01,3243,1841,33,3,1,17,0
M000639,Khlong Toei,Mixed,2025-06-06,639,519,27,0,0,6,0
M000640,Bang Kho Laem,Mixed,2025-07-02,517,420,28,0,1,1,0
M000641,Din Daeng,Commercial,2025-05-12,1931,1479,25,3,0,7,0
M000642,Bang Kapi,Mixed,2025-06-21,70,479,45,4,0,8,1
M000643,Bang Khen,Residential,2025-05-25,531,552,28,3,1,4,0
M000644,Khlong Toei,Government,2025-07-22,1467,3281,24,0,0,14,0
M000645,Thon Buri,Mixed,2025-05-01,491,432,28,2,0,2,0
M000646,Bang Khen,Government,2025-05-15,3345,3382,40,0,0,7,0
M000647,Thon Buri,Industrial,2025-05-20,5959,7278,35,0,0,3,0
M000648,Thon Buri,Residential,2025-06-10,505,629,31,0,0,12,0
M000649,Bang Kho Laem,Mixed,2025-05-14,569,657,22,0,0,3,0
M000650,Bang Khen,Commercial,2025-05-20,2410,2794,31,2,0,12,0
M000651,Thon Buri,Residential,2025-07-14,415,595,29,3,0,4,0
M000652,Din Daeng,Residential,2025-06-27,673,382,26,2,0,7,0
M000653,Din Daeng,Industrial,2025-07-18,8521,7834,25,2,0,9,0
M000654,Thon Buri,Government,2025-05-21,3015,3113,22,0,0,11,0
M000655,Din Daeng,Residential,2025-06-11,616,560,29,1,0,12,0
M000656,Khlong Toei,Commercial,2025-06-28,2390,2481,31,0,0,7,0
M000657,Lat Phrao,Industrial,2025-06-13,9043,6518,22,1,0,2,0
M000658,Bang Kapi,Residential,2025-05-05,621,490,28,1,0,5,0
M000659,Bang Khen,Mixed,2025-06-10,356,515,32,2,0,17,0
M000660,Bang Kapi,Residential,2025-07-22,308,525,26,2,0,5,0
M000661,Bang Kho Laem,Government,2025-07-25,2106,3413,39,0,0,13,0
M000662,Khlong Toei,Government,2025-07-24,1771,2314,25,0,0,7,0
M000663,Phaya Thai,Commercial,2025-07-22,1594,2149,24,1,0,8,0
M000664,Din Daeng,Residential,2025-05-17,678,603,32,0,0,6,0
M000665,Bang Kho Laem,Government,2025-06-26,4327,3331,26,0,0,2,0
M000666,Khlong Toei,Government,2025-05-12,2155,3395,24,0,0,5,0
M000667,Bang Khen,Residential,2025-05-02,440,409,33,1,0,8,0
M000668,Bang Kapi,Commercial,2025-07-12,1512,1658,22,2,0,1,0
M000669,Bang Kho Laem,Government,2025-07-03,3464,3066,21,0,0,7,0
M000670,Lat Phrao,Industrial,2025-06-10,8489,7232,43,0,0,5,0
M000671,Thon Buri,Commercial,2025-06-29,1594,2640,27,0,0,1,0
M000672,Din Daeng,Industrial,2025-06-24,9138,6188,31,2,0,4,0
M000673,Bang Khen,Industrial,2025-07-08,7409,8159,26,4,0,4,0
M000674,Khlong Toei,Government,2025-06-04,9627,3597,43,6,1,12,1
M000675,Phaya Thai,Industrial,2025-06-08,7760,7660,40,4,0,7,0
M000676,Phaya Thai,Commercial,2025-05-15,2557,2440,32,0,0,13,0
M000677,Bang Kho Laem,Mixed,2025-07-01,535,621,21,2,0,6,0
M000678,Bang Kapi,Residential,2025-06-21,556,546,33,0,0,9,0
M000679,Bang Kho Laem,Government,2025-07-26,2263,2593,22,4,0,4,0
M000680,Phaya Thai,Commercial,2025-06-18,1218,2106,28,0,0,10,0
M000681,Bang Khen,Government,2025-07-01,2966,2340,35,1,0,12,0
M000682,Khlong Toei,Government,2025-07-03,3063,2719,32,3,0,15,0
M000683,Bang Khen,Mixed,2025-07-20,271,647,29,1,0,13,0
M000684,Phaya Thai,Industrial,2025-06-26,8742,7144,38,0,0,18,0
M000685,Bang Kapi,Residential,2025-05-09,317,485,42,1,0,6,0
M000686,Phaya Thai,Residential,2025-06-20,532,471,24,1,1,1,0
M000687,Din Daeng,Residential,2025-05-02,598,501,27,0,0,5,0
M000688,Bang Kapi,Mixed,2025-06-22,572,694,21,1,0,3,0
M000689,Phaya Thai,Mixed,2025-05-01,367,461,29,0,0,10,0
M000690,Phaya Thai,Industrial,2025-06-29,8967,9044,32,0,0,9,0
M000691,Lat Phrao,Industrial,2025-06-30,8166,6696,26,1,0,4,0
M000692,Bang Kho Laem,Industrial,2025-06-13,8722,5080,29,0,1,1,0
M000693,Lat Phrao,Industrial,2025-06-22,6264,5385,29,0,0,14,0
M000694,Khlong Toei,Government,2025-05-04,3615,3018,31,1,0,8,0
M000695,Bang Khen,Industrial,2025-06-28,7697,6658,34,2,1,6,0
M000696,Bang Kapi,Residential,2025-07-21,502,417,31,1,0,5,0
M000697,Din Daeng,Residential,2025-05-09,746,567,31,1,0,23,0
M000698,Bang Khen,Commercial,2025-06-12,2391,2099,37,1,0,7,0
M000699,Khlong Toei,Mixed,2025-07-17,491,567,27,2,0,8,0
M000700,Lat Phrao,Industrial,2025-07-22,5768,6858,35,1,0,1,0
M000701,Din Daeng,Government,2025-07-09,1699,2634,36,1,0,3,0
M000702,Phaya Thai,Industrial,2025-05-06,10934,7914,34,0,0,9,0
M000703,Thon Buri,Residential,2025-06-01,483,601,30,0,0,11,0
M000704,Bang Kho Laem,Government,2025-06-12,2920,3374,38,0,0,9,0
M000705,Phaya Thai,Residential,2025-07-29,491,554,39,0,0,20,0
M000706,Bang Kho Laem,Residential,2025-05-27,560,382,30,2,0,1,0
M000707,Bang Kho Laem,Industrial,2025-07-09,8671,5644,24,2,0,2,0
M000708,Lat Phrao,Mixed,2025-05-19,644,565,31,1,1,13,0
M000709,Thon Buri,Residential,2025-05-17,563,518,29,1,0,9,0
M000710,Bang Kho Laem,Mixed,2025-06-13,572,563,34,0,0,2,0
M000711,Bang Kapi,Residential,2025-05-22,445,616,26,0,0,7,0
M000712,Bang Kapi,Mixed,2025-05-11,571,554,23,1,0,12,0
M000713,Lat Phrao,Government,2025-05-22,2139,4036,27,0,0,2,0
M000714,Bang Khen,Commercial,2025-06-22,1433,2433,41,1,0,10,0
M000715,Thon Buri,Commercial,2025-05-26,2339,2330,34,1,0,9,0
M000716,Phaya Thai,Commercial,2025-06-23,2263,2097,27,3,0,13,0
M000717,Bang Kapi,Industrial,2025-07-04,7059,8300,36,2,0,9,0
M000718,Khlong Toei,Government,2025-06-17,2192,3939,30,1,0,10,0
M000719,Thon Buri,Mixed,2025-05-17,512,456,29,2,1,6,0
M000720,Thon Buri,Government,2025-07-11,3438,3370,20,3,0,12,0
M000721,Phaya Thai,Industrial,2025-07-07,9214,8460,20,1,0,4,0
M000722,Bang Kho Laem,Industrial,2025-07-01,4840,7436,32,1,0,12,0
